Category;Title;Link;SKU;Price;Brand;Department;UPC;Image;Description;Manufacturer;Mfr part number;Shipping Weight
Cell Phones;Nokia 2610 Phone;http://feed.demo.mirasvit.com/nokia-2610-phone.html?fee=19&fep=16;n2610;149.99;;men, women;n2610;http://feed.demo.mirasvit.com/media/catalog/product/n/o/nokia-2610-phone-2.jpg;The words "entry level" no longer mean "low-end," especially when it comes to the Nokia 2610. Offeri;;n2610;3.2000
Cell Phones;BlackBerry 8100 Pearl;http://feed.demo.mirasvit.com/blackberry-8100-pearl.html?fee=19&fep=17;bb8100;349.99;;men, women;bb8100;http://feed.demo.mirasvit.com/media/catalog/product/b/l/blackberry-8100-pearl-2.jpg;The BlackBerry 8100 Pearl is a departure from the form factor of previous BlackBerry devices. This B;;bb8100;15.2000
Cell Phones;Sony Ericsson W810i;http://feed.demo.mirasvit.com/sony-ericsson-w810i.html?fee=19&fep=18;sw810i;399.99;;men, women;sw810i;http://feed.demo.mirasvit.com/media/catalog/product/s/o/sony-ericsson-w810i-2.jpg;The W810i follows a long tradition of beautifully designed and crafted phones from Sony Ericsson. Th;;sw810i;13.6000
Cell Phones;AT&T 8525 PDA;http://feed.demo.mirasvit.com/atandt-8525-pda.html?fee=19&fep=19;8525PDA;199.99;;men, women;8525PDA;http://feed.demo.mirasvit.com/media/catalog/product/a/t/at-t-8525-pda-1.jpg;Under the hood, the 8525 features 128MB of embedded memory and 64MB RAM, running on a 400 MHz Samsun;;8525PDA;30.0000
Cell Phones;Samsung MM-A900M Ace;http://feed.demo.mirasvit.com/samsung-mm-a900m-ace.html?fee=19&fep=20;MM-A900M;150;;men, women;MM-A900M;http://feed.demo.mirasvit.com/media/catalog/product/s/a/samsung-mm-a900m-ace.jpg;The MM-A900m offers great-looking design with the ability to download a rich selection of content di;;MM-A900M;1.0000
Laptops;Apple MacBook Pro MA464LL/A 15.4" Notebook PC;http://feed.demo.mirasvit.com/apple-macbook-pro-ma464ll-a-15-4-notebook-pc-2-0-ghz-intel-core-duo-1-gb-ram-100-gb-hard-drive-superdrive.html?fee=19&fep=25;MA464LL/A;2299.99;Apple;men, women;MA464LL/A;http://feed.demo.mirasvit.com/media/catalog/product/a/p/apple-macbook-pro-ma464ll-a-15-4-notebook-pc.jpg;You\'ve seen improvements in notebook performance before - but never on this scale. The Intel Core D;;MA464LL/A;10.6000
Laptops;Acer Ferrari 3200 Notebook Computer PC;http://feed.demo.mirasvit.com/acer-ferrari-3200-notebook-computer-pc.html?fee=19&fep=26;LX.FR206.001;1799.99;Acer;men, women;LX.FR206.001;http://feed.demo.mirasvit.com/media/catalog/product/a/c/acer-ferrari-3200-notebook-computer-pc.jpg;This exclusive edition is another striking symbol of cooperation between Acer and Ferrari -- two pro;;LX.FR206.001;11.4000
;Sony VAIO VGN-TXN27N/B 11.1" Notebook PC;http://feed.demo.mirasvit.com/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html?fee=19&fep=27;VGN-TXN27N/B;2699.99;Sony;men, women;VGN-TXN27N/B;http://feed.demo.mirasvit.com/media/catalog/product/s/o/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.jpg;Take a load off your shoulders when you\'re racing for your plane with the sleekly designed and ultr;;VGN-TXN27N/B;2.8000
Laptops;Toshiba M285-E 14";http://feed.demo.mirasvit.com/toshiba-satellite-a135-s4527-155-4-notebook-pc-intel-pentium-dual-core-processor-t2080-1-gb-ram-120-gb-hard-drive-supermulti-dvd-drive-vista-premium.html?fee=19&fep=28;M285-E;1599.99;Toshiba;men, women;M285-E;http://feed.demo.mirasvit.com/media/catalog/product/t/o/toshiba-m285-e-14.jpg;Get the competitive edge with the Gateway M285-E. This widescreen Convertible Notebook functions as ;;M285-E;10.0000
Hoodies;The Get Up Kids: Band Camp Pullover Hoodie;http://feed.demo.mirasvit.com/the-get-up-kids-band-camp-pullover-hoodie.html?fee=19&fep=39;4fasd5f5;30;;men, women;4fasd5f5;http://feed.demo.mirasvit.com/media/catalog/product/t/h/the-get-up-kids-band-camp-pullover-hoodie-1.jpg;Printed on American Apparel Classic style 5495 California Fleece Pull-Over Hoodies.  ;;4fasd5f5;1.7500
